Course Number,Course Name,Course Description,Course Link,Agency,Prerequisites,Course Type,Course Length,Tier,,,,,,,,,,,,,,,,,,
AWR-346,Introduction to Radiological/Nuclear WMD Operations for Law Enforcement,"Course Overview:

Introduction to Radiological/Nuclear WMD Operations For Law Enforcement, AWR-346, provides critical response training to participants who, in the course of their duties could be tasked with responding to a radiological/nuclear incident. The course is designed to provide Law Enforcement personnel with baseline knowledge to effectively and safely make decisions within their agency scope of operation dealing with radiological incidents. Topics presented include an update on current terrorism activity, an overview of the Preventive Radiological Nuclear Detection (PRND) mission, basic radiation concepts, radiation measurement terms and units, recognizing radiological/nuclear incidents, and what information will be needed during the notification process. The last module provides information on protective actions which may be employed and or supported by law enforcement personnel.

Course Objectives:

- Define the challenges for identifying domestic radiological/nuclear threats
- Describe the three potential radiological/nuclear weapons of mass destruction (WMD) threats and the probability and consequence for each
- Identify potential targets of radiological/nuclear terrorist
- Identify the indicators of terrorism that can provide clues to possible terrorist activities
- Explain the Global Nuclear Detection Architecture
- Describe the Preventative Radiological/Nuclear Detection (PRND) Modes of Operation
- Describe the properties and characteristics of ionizing radiation
- Identify the terms and units for measuring ionizing radiation
- Identify the terms radiation exposure and radioactive contamination
- Identify the health effects of ionizing radiation
- Define awareness level responder responsibilities at the scene of an emergency involving hazardous material
- Identify potential clues and indicators that lead to recognition of a radiological/nuclear incident
- Identify clues and indicators that lead to recognition of criminal activities
- Identify the difference between radiological/nuclear WMD incidents and other hazardous material incidents
- Identify suggested notification requirements for personnel first on scene
- Identify how the Emergency Response Guidebook (ERG) can be used as a reference in determining initial actions
- Describe the benefits and limitations of personal protective equipment in a radiological/ nuclear environment
- Describe how the ALARA radiation safety principle can be implemented while performing initial response actions
- Associate dose guidelines with the emergency activities performed
- Identify each response actions such as, Isolate Evacuate, Shelter-in-place, Medical Care, Decontamination, Evidence Preservation",AWR-346: Introduction to Radiological/Nuclear WMD Operations for Law Enforcement,Counterterrorism Operations Support (CTOS),No,In Person,4 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-332,Population Monitoring at Community Reception Center,"Course Overview:

The Population Monitoring at Community Reception Centers course is designed to provide the first responder and Community Reception Center (CRC) personnel with the individual skills needed to operate monitoring stations within the Community Reception Center (CRC) - or, similar reception centers - to perform population monitoring and contamination reduction measures after a radiological or nuclear incident.

Course Objectives:

TLO #1: Upon completion of this module, Participants will describe the purpose and the components of a CRC in radiological/nuclear incident.
TLO #2: Upon completion of this module, Participants will be:
Familiar with basic radiation concepts.
Able to distinguish between various radiation detection and measuring devices.
Able to recall three survey techniques.
TLO #3: Upon completion of this module, Participants will be able to:
Identify PPE.
Demonstrate donning and doffing procedures.
Discuss decontamination procedures at a CRC in a radiological/nuclear incident.
TLO #4: Upon completion of this module, Participants will demonstrate contamination survey techniques performed during CRC operations.",PER-332: Population Monitoring at Community Reception Center,Counterterrorism Operations Support (CTOS),No,In Person,8 Hours,3 and 4,,,,,,,,,,,,,,,,,,
MGT414,Critical Infrastructure Resilience and Community Lifelines,"Course Overview:

In this course participants will learn how to develop a roadmap for progress toward the National Preparedness Goal by facilitating the development of resilience considerations and involving essential community critical infrastructure partners. Participants will learn how to formulate considerations for the resilience of community assets that leverage cross-sector partnerships. These considerations enhance the whole community's ability to manage the risk associated with critical infrastructure protection efforts. Participants will have an opportunity to practice the practical skills necessary to formulate considerations in the local community.

Course Objectives:

- Formulate a community profile.
- Discuss the importance of Community Lifelines.
- Discuss the importance of resilience for critical infrastructure protection.
- Apply risk management principles to increase community resilience.
- Working as a group, develop and deliver a Senior Leaders Brief of Community Lifelines during or post incident.",MGT414 - Critical Infrastructure Resilience and Community Lifelines,TEEX,No,In Person,8 Hours,3 and 4,,,,,,,,,,,,,,,,,,
MGT312,Senior Officials Workshop for All-Hazards Preparedness,"Course Overview:

This course provides a forum to discuss strategic and executive-level issues related to all-hazard disaster preparedness, to share proven strategies and best practices, and to enhance coordination among officials responsible for emergency response and recovery from a disaster.   This workshop integrates a multimedia scenario and vignettes that highlight key issues and facilitates executive-level discussion of the United States' National Strategy for Homeland Security.  Additionally, the forum provides an opportunity to apply lessons learned from past local and national all-hazards disasters.

This course includes seven distinct modules incorporating lecture, discussion, and a practical exercise.  Each module focuses on a key component of disaster preparedness, such as Culture of Preparedness, Integrated Partnerships, Organizing for Success, Crisis Communications, etc.  Within the various modules are opportunities for group interaction and discussion.  The final module of the course is designed to provide the participants the opportunity to develop an action plan or to-do list for follow-up consideration and action.

The practical exercise consists of an expanding incident, designed specifically to address the local community's needs or concerns.  Participants are provided information and periodic updates, after which they are given a list of questions to consider and discuss.  Through these updates, the incident builds upon itself until it reaches a mass casualty/catastrophic level, thereby overwhelming the normal capabilities of the local jurisdiction and challenging the participants to consider their local policies, resources, and limitations.

This workshop provides a unique opportunity for local or regional executives to share strategies and coordinate plans for emergency preparedness and response. This workshop is an effective process for discussing executive-level issues with leaders from the agencies involved in all levels of the emergency management structure.

Course Objectives:

- Discuss roles and responsibilities and preparedness challenges
- Discuss domestic preparedness resources and how to leverage them for their community
- Discuss Homeland Security Strategic Planning as it relates to risk and needs assessment and the Emergency Operations Plan for their jurisdiction
- Discuss executive-level incident response and recovery considerations, including medical/public health, situation appraisal, incident management, mutual aid agreements, media relations, recovery and restoration processes, Federal assistance, and business/economic recovery
",MGT312 - Senior Officials Workshop for All-Hazards Preparedness,TEEX,No,In Person,6 Hours,3 and 4,,,,,,,,,,,,,,,,,,
MGT340,Crisis Leadership,"Course Overview:

The Crisis Leadership seminar is an executive-level presentation for the nation's senior officials at the city, county, region, territory, tribal, and state levels. Seminar participants will discuss strategic- and executive-level issues and challenges related to preparing for, responding to, and recovering from a catastrophic incident. The venue provides an excellent opportunity to share proven strategies and practices and apply lessons-learned from past natural, technological, and human-caused disasters.

The seminar is a facilitated, free-flowing discussion of the stresses of crisis leadership and decision-making gained from an examination of a selected case study of a catastrophic event. The seminar uses the case study to frame the discussion regarding ways to overcome leadership challenges before, during and after an incident. Current case studies to choose from include:

- Hurricane Harvey: Chaos on the Gulf Coast
- Mayhem at Mandalay Bay
- The Camp Fire: Crisis in California
- Fear and Realities: Managing Ebola in Dallas

The final outcome of the seminar is the development of individual and/or jurisdictional action plans to guide improvement of emergency preparedness, response and recovery actions.",MGT340 - Crisis Leadership,TEEX,No,In Person,4 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR314,Medical Countermeasures Awareness for Public Health Emergencies,"Course Overview:

The Medical Countermeasures Awareness for Public Health Emergencies course is a web-based course that enhances community preparedness by providing awareness-level training on the roles and responsibilities of the local public health community and its partners. The course covers local and federal resources and capabilities that may exist to help provide post-exposure prophylaxis for a large population in response to a catastrophic CBRNE or other public health event. It also reviews actions taken by a local jurisdiction during a public health emergency that require response at the local level and deployment of the Strategic National Stockpile (SNS).

Course Objectives:

- Recognize how the Strategic National Stockpile (SNS) incorporates into local mass prophylaxis plans in an all-hazards response
- Recognize the appropriate mass prophylaxis response to public health emergencies that could affect your community
- Identify resources and capabilities of the Division of the Strategic National Stockpile (DSNS) to help provide post-exposure prophylaxis for a large population within your community in response to a large-scale public health emergency
- Recognize how a Point of Dispensing (POD) functions in a community's Mass Prophylaxis Plan in accordance with National Centers for Disease Control (CDC) standards",AWR314 - Medical Countermeasures Awareness for Public Health Emergencies,TEEX,No,Online,3 Hours,3 and 4,,,,,,,,,,,,,,,,,,
CSAT-01-2020,Cyber Security Awareness Training (DSHS Version - Year 2020),,,,,,,,,,,,,,,,,,,,,,,,,
CSAT-02-2020,Cyber Security Awareness Training (Hidalgo County Version - Year 2020),,,,,,,,,,,,,,,,,,,,,,,,,
THS-2020,TB-HIV-STD Security Training 2020,,,,,,,,,,,,,,,,,,,,,,,,,
AWR-934-V10,HCV10 - Case Tracking and Epidemiology Tools,"Course Overview:

Case Tracking and Epidemiology Tools provides an examination of the importance of case tracking in collecting data necessary to determine the cause of an illness and to lessen its impact on a population. The lesson addresses the procedure and considerations for effectively conducting case tracking, explores means to share collected data to make it available for broad analysis, and common epidemiology tools used in case tracking.",AWR-934-V10: HCV10 - Case Tracking and Epidemiology Tools,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-934-V11,HCV11 - Contact Tracing for Transmissible Infectious Disease,"Course Overview:

Provides an examination of the importance of contact tracing in reducing the spread of an infectious disease in a population. Addresses the procedures and considerations for effectively conducting contact tracing and explores the public health actions taken as a result of contact tracing.",AWR-934-V11: HCV11 - Contact Tracing for Transmissible Infectious Disease,Centers for Domestic Preparedness (CDP),No,Online,1.5 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR-934-V2,HCV2- Mass Casualty Incident Response,"Course Overview:

Mass Casualty Incident Response - provides mass casualty triage education and practical experience in the application of the SALT (Sort, Assess, Lifesaving Interventions, Treatment/Transport) Mass Casualty Triage Algorithm. The instruction addresses global sorting of mass casualties, assessment of individual patients, performance of on-scene lifesaving interventions, and the treatment, stabilization, and transport of patients for further treatment in a healthcare facility.",AWR-934-V2: HCV2 - Mass Casualty Incident Response,Centers for Domestic Preparedness (CDP),No,Online,1.5 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
